"Date","Google","Facebook","Github","Microsoft","IBM","Average"
"1","355","649","156","235","8","280"
"2","358","712","164","283","5","304"
"3","347","847","174","364","8","348"
"4","444","754","151","361","20","346"
"5","373","826","187","219","38","328"
"6","397","824","206","177","49","330"
"7","496","884","201","228","14","364"
"8","468","824","170","252","6","344"
"9","428","809","176","291","0","340"
"10","442","882","158","372","10","372"
"11","385","848","227","276","6","348"
"12","241","530","240","187","6","240"
